dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,diff,total,avg_per
14_3,01-01-2021,3146,33067131,3223,33781223,714092,66848354,51%
17_3,01-07-2022,4310,77540673,2886,79207847,1667174,156748520,51%
20_3,01-10-2021,1188,21876822,1217,22346034,469212,44222856,51%
22_1,01-03-2023,3413,161103295,3518,164486824,3383529,325590119,51%
16_1,01-10-2021,4802,1067410975,5429,1089718097,22307122,2157129072,51%
23_1,01-11-2022,3842,107944880,3980,110195247,2250367,218140127,51%
14_2,01-08-2022,1225,23707880,1245,24189151,481271,47897031,51%
23_2,01-11-2021,2256,65486984,2403,66807701,1320717,132294685,50%
19_2,01-11-2022,1084,28563022,1115,29132303,569281,57695325,50%
19_2,01-12-2021,1873,40547506,1847,41350121,802615,81897627,50%
21_6,01-07-2021,705,9359180,763,9544185,185005,18903365,50%
15_2,01-07-2022,12736,1724072796,13416,1757943658,33870862,3482016454,50%
14_4,01-08-2022,1368,31720341,1407,32323792,603451,64044133,50%
18_1,01-03-2022,4403,125802861,4665,128191400,2388539,253994261,50%
14_1,01-11-2022,2867,98486139,2990,100294633,1808494,198780772,50%
20_2,01-07-2022,1403,43309810,1442,44095103,785293,87404913,50%
21_3,01-10-2022,1368,33980854,1379,34590659,609805,68571513,50%
20_4,01-02-2023,1319,48693380,1337,49561104,867724,98254484,50%
21_1,01-03-2023,4321,279791569,4642,284765300,4973731,564556869,50%
19_2,01-01-2021,1427,21685795,1504,22071080,385285,43756875,50%
20_3,01-07-2021,1837,25197803,1846,25639313,441510,50837116,50%
22_2,01-09-2022,450,23301088,480,23708403,407315,47009491,50%
